bait	tag	MD	CV	prg1_lfc	prg1_pv
H40L08.1	2L52.1	7.816	7.26326896539652	NA	NA
Y54G11A.3	2L52.1	17.702	9.01461006447167	NA	NA
dcap-1	2L52.1	10.778	20.9735041331638	NA	NA
dcap-2	2L52.1	3.15	2.96107271526629	NA	NA
gld4	2L52.1	15.01	5.14611077090024	NA	NA
H40L08.1	2O16	29.906	4.69061666414964	NA	NA
Y54G11A.3	2O16	9.8	6.32899886018805	NA	NA
dcap-1	2O16	31.12	1.61005430529946	NA	NA
dcap-2	2O16	28.146	9.74747781097949	NA	NA
gld4	2O16	24.798	17.0164836792687	NA	NA
H40L08.1	3A339	10.462	3.86755191726477	NA	NA
Y54G11A.3	3A339	23.956	10.4142622986965	NA	NA
dcap-1	3A339	17.026	19.5845235283096	NA	NA
dcap-2	3A339	20.104	4.03926061449637	NA	NA
gld4	3A339	22.754	8.47003904540336	NA	NA
H40L08.1	3E324	20.89	3.1032404037076	NA	NA
Y54G11A.3	3E324	13.038	11.8854065661012	NA	NA
dcap-1	3E324	23.978	14.4562489516624	NA	NA
dcap-2	3E324	20.124	1.7223104231759	NA	NA
gld4	3E324	21.114	2.49665266784808	NA	NA
H40L08.1	4D656	17.704	10.7997985704283	NA	NA
Y54G11A.3	4D656	20.612	12.1002670999369	NA	NA
dcap-1	4D656	25.246	8.93742443409852	NA	NA
dcap-2	4D656	20.24	6.53258470576727	NA	NA
gld4	4D656	26.332	7.07866014393779	NA	NA
H40L08.1	5H1	6.882	18.833439096835	NA	NA
Y54G11A.3	5H1	9.952	16.1176890939008	NA	NA
dcap-1	5H1	3.026	11.0438062520584	NA	NA
dcap-2	5H1	9.826	13.4026016095242	NA	NA
gld4	5H1	22.048	4.61707854254883	NA	NA
H40L08.1	5N224	19.242	13.2541660966053	NA	NA
Y54G11A.3	5N224	20.136	8.92510363965861	NA	NA
dcap-1	5N224	16.772	15.5924252497418	NA	NA
dcap-2	5N224	14.716	3.0277728624448	NA	NA
gld4	5N224	21.828	7.6315242473598	NA	NA
H40L08.1	5N226	19.44	20.43401926954	NA	NA
Y54G11A.3	5N226	24.708	4.77787289932956	NA	NA
dcap-1	5N226	18.82	26.003335521954	NA	NA
dcap-2	5N226	17.502	18.1907835245654	NA	NA
gld4	5N226	28.206	4.93176472225725	NA	NA
H40L08.1	AC3.12	18.93	17.0888067990682	NA	NA
Y54G11A.3	AC3.12	23.616	5.71054785258196	NA	NA
dcap-1	AC3.12	16.112	23.1929801019382	NA	NA
dcap-2	AC3.12	20.576	2.23788469136188	NA	NA
gld4	AC3.12	24.448	7.86593038892989	NA	NA
H40L08.1	AC3.5	19.27	2.3828959987377	NA	NA
Y54G11A.3	AC3.5	16.238	4.18077391212332	NA	NA
dcap-1	AC3.5	20.322	6.0231176740687	NA	NA
dcap-2	AC3.5	7.328	10.4460531282271	NA	NA
gld4	AC3.5	10.482	3.90646130489204	NA	NA
H40L08.1	AC7.3	17.954	18.7377105108819	NA	NA
Y54G11A.3	AC7.3	15.816	17.996950704598	NA	NA
dcap-1	AC7.3	14.502	6.62577160387047	NA	NA
dcap-2	AC7.3	15.226	12.4937342780535	NA	NA
gld4	AC7.3	10.358	6.06053244080936	NA	NA
H40L08.1	AC8.10	22.61	9.46215142467288	NA	NA
Y54G11A.3	AC8.10	19.36	12.8214715620661	NA	NA
dcap-1	AC8.10	25.352	13.5374199338323	NA	NA
dcap-2	AC8.10	23.722	4.64541174182087	NA	NA
gld4	AC8.10	12.512	5.65351951975725	NA	NA
H40L08.1	AC8.11	8.366	26.947460417719	NA	NA
Y54G11A.3	AC8.11	4.85	2.42651593730718	NA	NA
dcap-1	AC8.11	4.13	3.17089609048639	NA	NA
dcap-2	AC8.11	11.196	5.01635898374625	NA	NA
gld4	AC8.11	18.012	3.93230438113097	NA	NA
H40L08.1	AC8.3	23.32	4.66642169230676	NA	NA
Y54G11A.3	AC8.3	7.91	5.96868350650462	NA	NA
dcap-1	AC8.3	20.682	14.9112930630434	NA	NA
dcap-2	AC8.3	4.084	10.72718321538	NA	NA
gld4	AC8.3	11.362	6.12539124483755	NA	NA
H40L08.1	AH10.2	1.146	0.994917473908498	NA	NA
Y54G11A.3	AH10.2	9.476	6.02287469164786	NA	NA
dcap-1	AH10.2	20.356	8.69596045973003	NA	NA
dcap-2	AH10.2	13.924	7.15136450881511	NA	NA
gld4	AH10.2	22.658	10.4122588640158	NA	NA
H40L08.1	AH10.4	12.58	9.31846398392391	NA	NA
Y54G11A.3	AH10.4	16.862	10.4960875112877	NA	NA
dcap-1	AH10.4	7.254	13.8575453911103	NA	NA
dcap-2	AH10.4	16.508	6.99843001347724	NA	NA
gld4	AH10.4	17.884	6.51853288256449	NA	NA
H40L08.1	AH6.17	7.998	9.86614675758058	NA	NA
Y54G11A.3	AH6.17	21.48	12.6551093777169	NA	NA
dcap-1	AH6.17	7.636	12.0423551576192	NA	NA
dcap-2	AH6.17	18.358	4.27899570856967	NA	NA
gld4	AH6.17	22.476	3.17261895294385	NA	NA
H40L08.1	AH6.3	16.848	8.81958662740731	NA	NA
Y54G11A.3	AH6.3	20.4	3.42559036633677	NA	NA
dcap-1	AH6.3	9.126	37.366941008583	NA	NA
dcap-2	AH6.3	13.94	4.01593543824345	NA	NA
gld4	AH6.3	3.024	64.1046697298094	NA	NA
H40L08.1	AH9.1	18.222	8.09543869907184	NA	NA
Y54G11A.3	AH9.1	14.002	5.9975273465359	NA	NA
dcap-1	AH9.1	9.3	5.64029488146382	NA	NA
dcap-2	AH9.1	13.306	8.67005655166527	NA	NA
gld4	AH9.1	16.278	3.61002177894677	NA	NA
H40L08.1	AH9.3	25.336	16.3132297401401	NA	NA
Y54G11A.3	AH9.3	18.828	5.84759890481827	NA	NA
dcap-1	AH9.3	3.698	15.7949592911037	NA	NA
dcap-2	AH9.3	12.812	3.99492702090943	NA	NA
gld4	AH9.3	12.376	26.6080502488098	NA	NA
H40L08.1	AH9.4	22.11	5.02167686199426	NA	NA
Y54G11A.3	AH9.4	20.424	5.20030897620081	NA	NA
dcap-1	AH9.4	19.698	8.62907840807669	NA	NA
dcap-2	AH9.4	8.408	2.10986986126555	NA	NA
gld4	AH9.4	10.758	12.1001794077621	NA	NA
H40L08.1	AH9.6	20.728	4.75580833649885	NA	NA
Y54G11A.3	AH9.6	22.018	3.11554659506279	NA	NA
dcap-1	AH9.6	26.564	2.37157102388254	NA	NA
dcap-2	AH9.6	23.592	9.21503102565134	NA	NA
gld4	AH9.6	2.302	2.52179413965247	NA	NA
H40L08.1	B0001.2	24.526	4.90164393540995	0.637596177420632	0.21117938271476
Y54G11A.3	B0001.2	21.644	8.22558432864732	0.637596177420632	0.21117938271476
dcap-1	B0001.2	9.148	6.73694123004368	0.637596177420632	0.21117938271476
dcap-2	B0001.2	18.318	27.3830729323226	0.637596177420632	0.21117938271476
gld4	B0001.2	19.97	25.9644891581495	0.637596177420632	0.21117938271476
H40L08.1	B0001.3	26.096	5.46296618822687	NA	NA
Y54G11A.3	B0001.3	10.934	4.38454254908407	NA	NA
dcap-1	B0001.3	13.098	9.13787811459217	NA	NA
dcap-2	B0001.3	24.72	3.89149324718972	NA	NA
gld4	B0001.3	15.166	25.285497563962	NA	NA
H40L08.1	B0001.4	17.624	2.7160420747949	0.945581122028359	0.0203200833929593
