pae_min	sample
4.82	PRG1_2L52.1_data
4.7	PRG1_2L52.1_data
4.3	PRG1_2L52.1_data
4.46	PRG1_2L52.1_data
4.81	PRG1_2L52.1_data
10.08	PRG1_2O16_data
12.1	PRG1_2O16_data
11.24	PRG1_2O16_data
9.64	PRG1_2O16_data
10.42	PRG1_2O16_data
26.68	PRG1_3E324_data
23.8	PRG1_3E324_data
23.4	PRG1_3E324_data
23.42	PRG1_3E324_data
22.5	PRG1_3E324_data
18.1	PRG1_3A339_data
19.42	PRG1_3A339_data
18.53	PRG1_3A339_data
18.05	PRG1_3A339_data
18.87	PRG1_3A339_data
14.55	PRG1_5H1_data
14.74	PRG1_5H1_data
15.72	PRG1_5H1_data
14.55	PRG1_5H1_data
13.52	PRG1_5H1_data
30.82	PRG1_4D656_data
30.26	PRG1_4D656_data
29.9	PRG1_4D656_data
30.07	PRG1_4D656_data
30.23	PRG1_4D656_data
15.84	PRG1_5N224_data
16.28	PRG1_5N224_data
18.47	PRG1_5N224_data
15.98	PRG1_5N224_data
16.2	PRG1_5N224_data
19.55	PRG1_AC3.12_data
17.91	PRG1_AC3.12_data
18.36	PRG1_AC3.12_data
17.64	PRG1_AC3.12_data
18.21	PRG1_AC3.12_data
21.36	PRG1_AC3.5_data
20.62	PRG1_AC3.5_data
22.27	PRG1_AC3.5_data
18.48	PRG1_AC3.5_data
17.78	PRG1_AC3.5_data
25.74	PRG1_5N226_data
23.23	PRG1_5N226_data
23.27	PRG1_5N226_data
26.09	PRG1_5N226_data
27.54	PRG1_5N226_data
15.48	PRG1_AC7.3_data
24.57	PRG1_AC7.3_data
16.55	PRG1_AC7.3_data
16.76	PRG1_AC7.3_data
16.88	PRG1_AC7.3_data
23.03	PRG1_AC8.10_data
28.42	PRG1_AC8.10_data
22.8	PRG1_AC8.10_data
23.01	PRG1_AC8.10_data
22.0	PRG1_AC8.10_data
18.92	PRG1_AC8.11_data
17.89	PRG1_AC8.11_data
17.34	PRG1_AC8.11_data
18.26	PRG1_AC8.11_data
17.84	PRG1_AC8.11_data
26.32	PRG1_AC8.3_data
25.92	PRG1_AC8.3_data
27.33	PRG1_AC8.3_data
28.38	PRG1_AC8.3_data
27.58	PRG1_AC8.3_data
20.41	PRG1_AH10.2_data
22.34	PRG1_AH10.2_data
19.57	PRG1_AH10.2_data
21.11	PRG1_AH10.2_data
20.19	PRG1_AH10.2_data
22.34	PRG1_AH6.17_data
22.63	PRG1_AH6.17_data
22.66	PRG1_AH6.17_data
21.81	PRG1_AH6.17_data
21.52	PRG1_AH6.17_data
14.36	PRG1_AH10.4_data
15.57	PRG1_AH10.4_data
14.08	PRG1_AH10.4_data
14.29	PRG1_AH10.4_data
14.17	PRG1_AH10.4_data
12.76	PRG1_AH6.3_data
13.02	PRG1_AH6.3_data
13.5	PRG1_AH6.3_data
12.87	PRG1_AH6.3_data
12.83	PRG1_AH6.3_data
24.01	PRG1_AH9.3_data
24.11	PRG1_AH9.3_data
25.19	PRG1_AH9.3_data
26.72	PRG1_AH9.3_data
24.95	PRG1_AH9.3_data
17.35	PRG1_AH9.1_data
15.58	PRG1_AH9.1_data
15.39	PRG1_AH9.1_data
16.28	PRG1_AH9.1_data
16.45	PRG1_AH9.1_data
26.77	PRG1_B0001.2_data
26.4	PRG1_B0001.2_data
17.53	PRG1_B0001.2_data
25.04	PRG1_B0001.2_data
22.14	PRG1_B0001.2_data
10.27	PRG1_AH9.4_data
10.01	PRG1_AH9.4_data
11.4	PRG1_AH9.4_data
9.86	PRG1_AH9.4_data
10.4	PRG1_AH9.4_data
2.57	PRG1_B0001.3_data
2.75	PRG1_B0001.3_data
2.59	PRG1_B0001.3_data
2.64	PRG1_B0001.3_data
2.75	PRG1_B0001.3_data
19.71	PRG1_AH9.6_data
27.1	PRG1_AH9.6_data
24.03	PRG1_AH9.6_data
18.76	PRG1_AH9.6_data
22.65	PRG1_AH9.6_data
30.11	PRG1_B0001.4_data
29.93	PRG1_B0001.4_data
28.45	PRG1_B0001.4_data
28.42	PRG1_B0001.4_data
28.25	PRG1_B0001.4_data
25.28	PRG1_B0001.7_data
23.74	PRG1_B0001.7_data
26.43	PRG1_B0001.7_data
27.6	PRG1_B0001.7_data
26.49	PRG1_B0001.7_data
25.49	PRG1_B0001.5_data
14.07	PRG1_B0001.5_data
23.31	PRG1_B0001.5_data
22.69	PRG1_B0001.5_data
21.35	PRG1_B0001.5_data
16.16	PRG1_B0019.2_data
15.5	PRG1_B0019.2_data
15.56	PRG1_B0019.2_data
14.75	PRG1_B0019.2_data
15.48	PRG1_B0019.2_data
24.8	PRG1_B0001.8_data
18.65	PRG1_B0001.8_data
24.66	PRG1_B0001.8_data
25.22	PRG1_B0001.8_data
18.57	PRG1_B0001.8_data
28.14	PRG1_B0024.11_data
28.38	PRG1_B0024.11_data
28.26	PRG1_B0024.11_data
27.73	PRG1_B0024.11_data
28.41	PRG1_B0024.11_data
24.7	PRG1_B0024.13_data
25.48	PRG1_B0024.13_data
20.97	PRG1_B0024.13_data
21.36	PRG1_B0024.13_data
22.28	PRG1_B0024.13_data
24.6	PRG1_B0024.15_data
24.99	PRG1_B0024.15_data
24.84	PRG1_B0024.15_data
24.32	PRG1_B0024.15_data
28.52	PRG1_B0024.15_data
24.5	PRG1_B0024.3_data
25.15	PRG1_B0024.3_data
26.18	PRG1_B0024.3_data
25.67	PRG1_B0024.3_data
25.75	PRG1_B0024.3_data
19.61	PRG1_B0025.5_data
23.28	PRG1_B0025.5_data
23.27	PRG1_B0025.5_data
21.91	PRG1_B0025.5_data
23.41	PRG1_B0025.5_data
25.05	PRG1_B0024.4_data
29.68	PRG1_B0024.4_data
26.16	PRG1_B0024.4_data
25.22	PRG1_B0024.4_data
26.37	PRG1_B0024.4_data
11.47	PRG1_B0034.1_data
26.38	PRG1_B0034.1_data
11.21	PRG1_B0034.1_data
10.75	PRG1_B0034.1_data
10.8	PRG1_B0034.1_data
19.25	PRG1_B0034.2_data
20.92	PRG1_B0034.2_data
23.91	PRG1_B0034.2_data
20.59	PRG1_B0034.2_data
23.49	PRG1_B0034.2_data
19.34	PRG1_B0025.4_data
21.7	PRG1_B0025.4_data
18.89	PRG1_B0025.4_data
27.75	PRG1_B0025.4_data
22.52	PRG1_B0025.4_data
7.37	PRG1_B0034.5_data
7.56	PRG1_B0034.5_data
7.58	PRG1_B0034.5_data
7.79	PRG1_B0034.5_data
7.47	PRG1_B0034.5_data
4.87	PRG1_B0034.4_data
5.02	PRG1_B0034.4_data
4.65	PRG1_B0034.4_data
4.78	PRG1_B0034.4_data
5.18	PRG1_B0034.4_data
29.15	PRG1_B0035.13_data
29.58	PRG1_B0035.13_data
26.0	PRG1_B0035.13_data
25.24	PRG1_B0035.13_data
26.92	PRG1_B0035.13_data
15.91	PRG1_B0035.15_data
21.86	PRG1_B0035.15_data
14.71	PRG1_B0035.15_data
20.27	PRG1_B0035.15_data
15.21	PRG1_B0035.15_data
22.7	PRG1_B0034.7_data
22.85	PRG1_B0034.7_data
22.14	PRG1_B0034.7_data
22.06	PRG1_B0034.7_data
22.09	PRG1_B0034.7_data
25.59	PRG1_B0035.18_data
21.15	PRG1_B0035.18_data
21.96	PRG1_B0035.18_data
23.02	PRG1_B0035.18_data
27.41	PRG1_B0035.18_data
18.26	PRG1_B0035.22_data
19.53	PRG1_B0035.22_data
20.07	PRG1_B0035.22_data
18.52	PRG1_B0035.22_data
19.78	PRG1_B0035.22_data
27.46	PRG1_B0035.3_data
26.47	PRG1_B0035.3_data
28.59	PRG1_B0035.3_data
27.59	PRG1_B0035.3_data
29.14	PRG1_B0035.3_data
17.02	PRG1_B0035.21_data
15.42	PRG1_B0035.21_data
17.41	PRG1_B0035.21_data
16.37	PRG1_B0035.21_data
17.71	PRG1_B0035.21_data
15.06	PRG1_B0041.1_data
16.86	PRG1_B0041.1_data
15.76	PRG1_B0041.1_data
15.21	PRG1_B0041.1_data
15.3	PRG1_B0041.1_data
26.43	PRG1_B0041.11_data
23.49	PRG1_B0041.11_data
25.61	PRG1_B0041.11_data
21.58	PRG1_B0041.11_data
22.24	PRG1_B0041.11_data
19.39	PRG1_B0041.5_data
22.14	PRG1_B0041.5_data
21.37	PRG1_B0041.5_data
19.99	PRG1_B0041.5_data
19.63	PRG1_B0041.5_data
22.61	PRG1_B0041.12_data
17.68	PRG1_B0041.12_data
18.45	PRG1_B0041.12_data
17.81	PRG1_B0041.12_data
18.71	PRG1_B0041.12_data
19.2	PRG1_B0041.8_data
19.75	PRG1_B0041.8_data
19.54	PRG1_B0041.8_data
19.58	PRG1_B0041.8_data
19.59	PRG1_B0041.8_data
20.18	PRG1_B0198.3_data
20.34	PRG1_B0198.3_data
22.9	PRG1_B0198.3_data
20.28	PRG1_B0198.3_data
25.25	PRG1_B0198.3_data
11.81	PRG1_B0198.2_data
11.91	PRG1_B0198.2_data
10.71	PRG1_B0198.2_data
16.45	PRG1_B0198.2_data
11.57	PRG1_B0198.2_data
12.42	PRG1_B0205.12_data
11.77	PRG1_B0205.12_data
12.03	PRG1_B0205.12_data
12.69	PRG1_B0205.12_data
12.25	PRG1_B0205.12_data
27.14	PRG1_B0205.1_data
20.92	PRG1_B0205.1_data
