pae_min	sample
22.89	DISL2_2L52.1_data
16.31	DISL2_2L52.1_data
14.34	DISL2_2L52.1_data
16.07	DISL2_2L52.1_data
14.45	DISL2_2L52.1_data
25.4	DISL2_2O16_data
25.72	DISL2_2O16_data
21.47	DISL2_2O16_data
22.65	DISL2_2O16_data
21.56	DISL2_2O16_data
25.31	DISL2_3E324_data
29.02	DISL2_3E324_data
29.75	DISL2_3E324_data
29.6	DISL2_3E324_data
28.71	DISL2_3E324_data
23.25	DISL2_3A339_data
26.38	DISL2_3A339_data
18.27	DISL2_3A339_data
26.37	DISL2_3A339_data
23.32	DISL2_3A339_data
26.84	DISL2_4D656_data
25.48	DISL2_4D656_data
23.54	DISL2_4D656_data
25.07	DISL2_4D656_data
23.46	DISL2_4D656_data
11.55	DISL2_5H1_data
12.24	DISL2_5H1_data
12.87	DISL2_5H1_data
12.4	DISL2_5H1_data
12.22	DISL2_5H1_data
21.1	DISL2_5N224_data
20.6	DISL2_5N224_data
19.98	DISL2_5N224_data
18.47	DISL2_5N224_data
19.52	DISL2_5N224_data
8.12	DISL2_5N226_data
8.1	DISL2_5N226_data
7.52	DISL2_5N226_data
8.0	DISL2_5N226_data
8.04	DISL2_5N226_data
12.72	DISL2_AC3.5_data
13.66	DISL2_AC3.5_data
14.09	DISL2_AC3.5_data
12.77	DISL2_AC3.5_data
13.57	DISL2_AC3.5_data
21.74	DISL2_AC3.12_data
24.38	DISL2_AC3.12_data
26.93	DISL2_AC3.12_data
21.06	DISL2_AC3.12_data
21.89	DISL2_AC3.12_data
22.66	DISL2_AC8.10_data
28.33	DISL2_AC8.10_data
21.99	DISL2_AC8.10_data
22.3	DISL2_AC8.10_data
26.68	DISL2_AC8.10_data
25.05	DISL2_AC7.3_data
24.36	DISL2_AC7.3_data
9.56	DISL2_AC7.3_data
21.67	DISL2_AC7.3_data
10.22	DISL2_AC7.3_data
6.94	DISL2_AC8.11_data
7.21	DISL2_AC8.11_data
6.59	DISL2_AC8.11_data
7.12	DISL2_AC8.11_data
7.0	DISL2_AC8.11_data
10.46	DISL2_AC8.3_data
11.11	DISL2_AC8.3_data
10.53	DISL2_AC8.3_data
10.49	DISL2_AC8.3_data
9.57	DISL2_AC8.3_data
21.94	DISL2_AH10.2_data
22.07	DISL2_AH10.2_data
24.91	DISL2_AH10.2_data
25.19	DISL2_AH10.2_data
21.41	DISL2_AH10.2_data
13.14	DISL2_AH6.17_data
14.0	DISL2_AH6.17_data
13.64	DISL2_AH6.17_data
14.24	DISL2_AH6.17_data
14.96	DISL2_AH6.17_data
15.32	DISL2_AH6.3_data
15.83	DISL2_AH6.3_data
14.84	DISL2_AH6.3_data
24.25	DISL2_AH6.3_data
13.05	DISL2_AH6.3_data
21.05	DISL2_AH10.4_data
22.95	DISL2_AH10.4_data
22.41	DISL2_AH10.4_data
23.46	DISL2_AH10.4_data
18.98	DISL2_AH10.4_data
5.94	DISL2_AH9.1_data
6.03	DISL2_AH9.1_data
5.93	DISL2_AH9.1_data
6.1	DISL2_AH9.1_data
6.0	DISL2_AH9.1_data
16.6	DISL2_AH9.3_data
15.53	DISL2_AH9.3_data
16.31	DISL2_AH9.3_data
17.11	DISL2_AH9.3_data
15.05	DISL2_AH9.3_data
16.17	DISL2_AH9.4_data
15.47	DISL2_AH9.4_data
16.61	DISL2_AH9.4_data
15.8	DISL2_AH9.4_data
15.68	DISL2_AH9.4_data
13.21	DISL2_AH9.6_data
12.87	DISL2_AH9.6_data
12.73	DISL2_AH9.6_data
13.01	DISL2_AH9.6_data
26.56	DISL2_AH9.6_data
14.7	DISL2_B0001.3_data
13.86	DISL2_B0001.3_data
18.16	DISL2_B0001.3_data
27.9	DISL2_B0001.3_data
21.22	DISL2_B0001.3_data
19.56	DISL2_B0001.4_data
19.44	DISL2_B0001.4_data
20.38	DISL2_B0001.4_data
19.74	DISL2_B0001.4_data
19.52	DISL2_B0001.4_data
27.47	DISL2_B0001.2_data
18.94	DISL2_B0001.2_data
24.28	DISL2_B0001.2_data
18.84	DISL2_B0001.2_data
19.04	DISL2_B0001.2_data
26.32	DISL2_B0001.5_data
22.94	DISL2_B0001.5_data
21.02	DISL2_B0001.5_data
21.02	DISL2_B0001.5_data
21.72	DISL2_B0001.5_data
14.58	DISL2_B0001.7_data
13.53	DISL2_B0001.7_data
14.79	DISL2_B0001.7_data
13.91	DISL2_B0001.7_data
25.24	DISL2_B0001.7_data
3.55	DISL2_B0024.11_data
3.61	DISL2_B0024.11_data
3.58	DISL2_B0024.11_data
3.64	DISL2_B0024.11_data
3.63	DISL2_B0024.11_data
7.68	DISL2_B0001.8_data
7.56	DISL2_B0001.8_data
6.7	DISL2_B0001.8_data
7.18	DISL2_B0001.8_data
8.94	DISL2_B0001.8_data
15.14	DISL2_B0019.2_data
22.93	DISL2_B0019.2_data
22.97	DISL2_B0019.2_data
19.76	DISL2_B0019.2_data
20.76	DISL2_B0019.2_data
25.52	DISL2_B0024.15_data
27.95	DISL2_B0024.15_data
28.41	DISL2_B0024.15_data
29.17	DISL2_B0024.15_data
29.78	DISL2_B0024.15_data
15.51	DISL2_B0024.13_data
15.57	DISL2_B0024.13_data
15.88	DISL2_B0024.13_data
26.11	DISL2_B0024.13_data
24.87	DISL2_B0024.13_data
26.37	DISL2_B0024.3_data
27.92	DISL2_B0024.3_data
27.98	DISL2_B0024.3_data
27.84	DISL2_B0024.3_data
25.38	DISL2_B0024.3_data
12.18	DISL2_B0025.4_data
12.58	DISL2_B0025.4_data
11.49	DISL2_B0025.4_data
11.92	DISL2_B0025.4_data
12.85	DISL2_B0025.4_data
24.17	DISL2_B0024.4_data
23.16	DISL2_B0024.4_data
22.88	DISL2_B0024.4_data
22.99	DISL2_B0024.4_data
23.43	DISL2_B0024.4_data
9.83	DISL2_B0025.5_data
9.56	DISL2_B0025.5_data
10.01	DISL2_B0025.5_data
10.34	DISL2_B0025.5_data
10.93	DISL2_B0025.5_data
9.99	DISL2_B0034.1_data
12.23	DISL2_B0034.1_data
9.54	DISL2_B0034.1_data
9.18	DISL2_B0034.1_data
8.91	DISL2_B0034.1_data
14.99	DISL2_B0034.2_data
13.95	DISL2_B0034.2_data
14.33	DISL2_B0034.2_data
15.91	DISL2_B0034.2_data
14.54	DISL2_B0034.2_data
20.76	DISL2_B0034.4_data
22.21	DISL2_B0034.4_data
20.92	DISL2_B0034.4_data
23.15	DISL2_B0034.4_data
21.6	DISL2_B0034.4_data
16.49	DISL2_B0034.5_data
16.68	DISL2_B0034.5_data
18.18	DISL2_B0034.5_data
15.61	DISL2_B0034.5_data
17.41	DISL2_B0034.5_data
23.6	DISL2_B0034.7_data
22.99	DISL2_B0034.7_data
23.13	DISL2_B0034.7_data
25.64	DISL2_B0034.7_data
24.07	DISL2_B0034.7_data
29.36	DISL2_B0035.13_data
28.88	DISL2_B0035.13_data
23.35	DISL2_B0035.13_data
27.5	DISL2_B0035.13_data
26.39	DISL2_B0035.13_data
22.14	DISL2_B0035.15_data
20.61	DISL2_B0035.15_data
22.77	DISL2_B0035.15_data
23.93	DISL2_B0035.15_data
21.32	DISL2_B0035.15_data
26.78	DISL2_B0035.18_data
22.9	DISL2_B0035.18_data
23.27	DISL2_B0035.18_data
22.2	DISL2_B0035.18_data
22.93	DISL2_B0035.18_data
5.85	DISL2_B0035.22_data
4.72	DISL2_B0035.22_data
5.43	DISL2_B0035.22_data
5.01	DISL2_B0035.22_data
5.75	DISL2_B0035.22_data
11.41	DISL2_B0035.21_data
8.03	DISL2_B0035.21_data
7.96	DISL2_B0035.21_data
7.81	DISL2_B0035.21_data
6.81	DISL2_B0035.21_data
29.48	DISL2_B0035.3_data
28.48	DISL2_B0035.3_data
28.98	DISL2_B0035.3_data
27.55	DISL2_B0035.3_data
29.9	DISL2_B0035.3_data
29.76	DISL2_B0041.1_data
22.57	DISL2_B0041.1_data
29.02	DISL2_B0041.1_data
24.82	DISL2_B0041.1_data
20.08	DISL2_B0041.1_data
5.14	DISL2_B0041.12_data
4.69	DISL2_B0041.12_data
5.39	DISL2_B0041.12_data
5.15	DISL2_B0041.12_data
4.93	DISL2_B0041.12_data
3.93	DISL2_B0041.11_data
3.7	DISL2_B0041.11_data
3.84	DISL2_B0041.11_data
3.91	DISL2_B0041.11_data
4.02	DISL2_B0041.11_data
18.85	DISL2_B0041.5_data
18.0	DISL2_B0041.5_data
16.66	DISL2_B0041.5_data
18.42	DISL2_B0041.5_data
18.27	DISL2_B0041.5_data
16.48	DISL2_B0041.8_data
16.33	DISL2_B0041.8_data
17.15	DISL2_B0041.8_data
24.57	DISL2_B0041.8_data
16.69	DISL2_B0041.8_data
3.88	DISL2_B0198.2_data
3.88	DISL2_B0198.2_data
3.87	DISL2_B0198.2_data
4.04	DISL2_B0198.2_data
4.05	DISL2_B0198.2_data
22.47	DISL2_B0205.1_data
22.38	DISL2_B0205.1_data
24.77	DISL2_B0205.1_data
28.39	DISL2_B0205.1_data
22.18	DISL2_B0205.1_data
19.36	DISL2_B0205.12_data
22.94	DISL2_B0205.12_data
19.07	DISL2_B0205.12_data
22.69	DISL2_B0205.12_data
24.13	DISL2_B0205.12_data
15.14	DISL2_B0205.13_data
16.57	DISL2_B0205.13_data
15.43	DISL2_B0205.13_data
16.1	DISL2_B0205.13_data
15.64	DISL2_B0205.13_data
20.5	DISL2_B0205.10_data
21.32	DISL2_B0205.10_data
21.43	DISL2_B0205.10_data
19.99	DISL2_B0205.10_data
20.72	DISL2_B0205.10_data
19.31	DISL2_B0198.3_data
21.62	DISL2_B0198.3_data
25.31	DISL2_B0198.3_data
25.31	DISL2_B0198.3_data
19.63	DISL2_B0198.3_data
23.67	DISL2_B0205.14_data
24.63	DISL2_B0205.14_data
27.28	DISL2_B0205.14_data
22.6	DISL2_B0205.14_data
26.2	DISL2_B0205.14_data
4.9	DISL2_B0205.4_data
4.69	DISL2_B0205.4_data
5.05	DISL2_B0205.4_data
4.94	DISL2_B0205.4_data
5.14	DISL2_B0205.4_data
22.63	DISL2_B0205.8_data
15.24	DISL2_B0205.8_data
15.96	DISL2_B0205.8_data
21.96	DISL2_B0205.8_data
21.88	DISL2_B0205.8_data
7.2	DISL2_B0205.5_data
7.1	DISL2_B0205.5_data
6.99	DISL2_B0205.5_data
7.17	DISL2_B0205.5_data
6.92	DISL2_B0205.5_data
27.32	DISL2_B0207.1_data
25.02	DISL2_B0207.1_data
25.34	DISL2_B0207.1_data
24.43	DISL2_B0207.1_data
26.66	DISL2_B0207.1_data
20.66	DISL2_B0205.9_data
20.95	DISL2_B0205.9_data
21.02	DISL2_B0205.9_data
21.17	DISL2_B0205.9_data
21.36	DISL2_B0205.9_data
17.58	DISL2_B0207.10_data
18.32	DISL2_B0207.10_data
12.95	DISL2_B0207.10_data
17.64	DISL2_B0207.10_data
18.51	DISL2_B0207.10_data
9.52	DISL2_B0207.2_data
9.58	DISL2_B0207.2_data
9.11	DISL2_B0207.2_data
13.78	DISL2_B0207.2_data
13.8	DISL2_B0207.2_data
8.18	DISL2_B0207.11_data
9.19	DISL2_B0207.11_data
8.7	DISL2_B0207.11_data
8.38	DISL2_B0207.11_data
8.09	DISL2_B0207.11_data
23.62	DISL2_B0207.6_data
23.99	DISL2_B0207.6_data
24.32	DISL2_B0207.6_data
21.55	DISL2_B0207.6_data
20.56	DISL2_B0207.6_data
24.55	DISL2_B0207.9_data
26.6	DISL2_B0207.9_data
25.8	DISL2_B0207.9_data
29.88	DISL2_B0207.9_data
16.12	DISL2_B0207.9_data
26.14	DISL2_B0207.7_data
26.83	DISL2_B0207.7_data
22.26	DISL2_B0207.7_data
25.76	DISL2_B0207.7_data
25.62	DISL2_B0207.7_data
19.2	DISL2_B0212.3_data
19.35	DISL2_B0212.3_data
19.04	DISL2_B0212.3_data
17.75	DISL2_B0212.3_data
17.88	DISL2_B0212.3_data
14.65	DISL2_B0218.7_data
15.3	DISL2_B0218.7_data
13.03	DISL2_B0218.7_data
13.1	DISL2_B0218.7_data
13.69	DISL2_B0218.7_data
19.67	DISL2_B0222.1_data
19.09	DISL2_B0222.1_data
19.98	DISL2_B0222.1_data
19.09	DISL2_B0222.1_data
18.38	DISL2_B0222.1_data
27.87	DISL2_B0218.5_data
25.96	DISL2_B0218.5_data
26.5	DISL2_B0218.5_data
26.1	DISL2_B0218.5_data
29.03	DISL2_B0218.5_data
27.83	DISL2_B0222.15_data
26.16	DISL2_B0222.15_data
26.77	DISL2_B0222.15_data
25.09	DISL2_B0222.15_data
24.72	DISL2_B0222.15_data
24.99	DISL2_B0222.11_data
23.76	DISL2_B0222.11_data
19.96	DISL2_B0222.11_data
19.3	DISL2_B0222.11_data
20.21	DISL2_B0222.11_data
24.51	DISL2_B0228.1_data
9.98	DISL2_B0228.1_data
10.89	DISL2_B0228.1_data
10.29	DISL2_B0228.1_data
10.93	DISL2_B0228.1_data
11.6	DISL2_B0222.5_data
11.12	DISL2_B0222.5_data
11.75	DISL2_B0222.5_data
11.48	DISL2_B0222.5_data
11.32	DISL2_B0222.5_data
29.27	DISL2_B0228.7_data
25.06	DISL2_B0228.7_data
25.52	DISL2_B0228.7_data
25.75	DISL2_B0228.7_data
24.59	DISL2_B0228.7_data
25.64	DISL2_B0228.6_data
16.59	DISL2_B0228.6_data
16.7	DISL2_B0228.6_data
16.31	DISL2_B0228.6_data
16.58	DISL2_B0228.6_data
15.46	DISL2_B0228.8_data
23.39	DISL2_B0228.8_data
16.71	DISL2_B0228.8_data
15.35	DISL2_B0228.8_data
15.17	DISL2_B0228.8_data
26.89	DISL2_B0228.9_data
28.34	DISL2_B0228.9_data
27.9	DISL2_B0228.9_data
23.67	DISL2_B0228.9_data
26.82	DISL2_B0228.9_data
18.52	DISL2_B0238.9_data
11.42	DISL2_B0238.9_data
12.75	DISL2_B0238.9_data
10.84	DISL2_B0238.9_data
13.55	DISL2_B0238.9_data
11.77	DISL2_B0238.15_data
18.65	DISL2_B0238.15_data
12.16	DISL2_B0238.15_data
12.08	DISL2_B0238.15_data
17.72	DISL2_B0238.15_data
21.4	DISL2_B0244.10_data
22.55	DISL2_B0244.10_data
21.76	DISL2_B0244.10_data
22.07	DISL2_B0244.10_data
21.38	DISL2_B0244.10_data
7.39	DISL2_B0244.15_data
7.59	DISL2_B0244.15_data
7.6	DISL2_B0244.15_data
7.52	DISL2_B0244.15_data
7.09	DISL2_B0244.15_data
17.23	DISL2_B0244.17_data
17.52	DISL2_B0244.17_data
17.33	DISL2_B0244.17_data
17.31	DISL2_B0244.17_data
17.1	DISL2_B0244.17_data
8.17	DISL2_B0244.16_data
8.43	DISL2_B0244.16_data
8.43	DISL2_B0244.16_data
8.55	DISL2_B0244.16_data
8.02	DISL2_B0244.16_data
6.2	DISL2_B0244.4_data
6.27	DISL2_B0244.4_data
6.57	DISL2_B0244.4_data
5.82	DISL2_B0244.4_data
5.7	DISL2_B0244.4_data
19.69	DISL2_B0244.6_data
19.2	DISL2_B0244.6_data
19.81	DISL2_B0244.6_data
18.96	DISL2_B0244.6_data
19.03	DISL2_B0244.6_data
24.56	DISL2_B0244.7_data
21.81	DISL2_B0244.7_data
25.01	DISL2_B0244.7_data
23.42	DISL2_B0244.7_data
21.83	DISL2_B0244.7_data
5.95	DISL2_B0244.5_data
5.29	DISL2_B0244.5_data
5.57	DISL2_B0244.5_data
5.5	DISL2_B0244.5_data
5.33	DISL2_B0244.5_data
20.77	DISL2_B0250.18_data
22.09	DISL2_B0250.18_data
26.5	DISL2_B0250.18_data
20.23	DISL2_B0250.18_data
15.23	DISL2_B0250.18_data
16.83	DISL2_B0244.9_data
24.35	DISL2_B0244.9_data
14.88	DISL2_B0244.9_data
16.55	DISL2_B0244.9_data
25.38	DISL2_B0244.9_data
15.05	DISL2_B0250.7_data
15.38	DISL2_B0250.7_data
13.91	DISL2_B0250.7_data
15.56	DISL2_B0250.7_data
15.46	DISL2_B0250.7_data
27.35	DISL2_B0250.5_data
28.16	DISL2_B0250.5_data
27.96	DISL2_B0250.5_data
28.4	DISL2_B0250.5_data
24.38	DISL2_B0250.5_data
26.85	DISL2_B0252.1_data
26.49	DISL2_B0252.1_data
26.0	DISL2_B0252.1_data
26.4	DISL2_B0252.1_data
26.9	DISL2_B0252.1_data
12.55	DISL2_B0252.11_data
12.52	DISL2_B0252.11_data
12.42	DISL2_B0252.11_data
12.22	DISL2_B0252.11_data
12.69	DISL2_B0252.11_data
25.71	DISL2_B0250.8_data
25.36	DISL2_B0250.8_data
25.04	DISL2_B0250.8_data
25.11	DISL2_B0250.8_data
24.71	DISL2_B0250.8_data
27.93	DISL2_B0252.5_data
26.6	DISL2_B0252.5_data
20.24	DISL2_B0252.5_data
20.01	DISL2_B0252.5_data
28.24	DISL2_B0252.5_data
9.73	DISL2_B0261.5_data
9.16	DISL2_B0261.5_data
10.07	DISL2_B0261.5_data
9.09	DISL2_B0261.5_data
9.01	DISL2_B0261.5_data
27.73	DISL2_B0261.6_data
27.19	DISL2_B0261.6_data
26.6	DISL2_B0261.6_data
24.33	DISL2_B0261.6_data
22.71	DISL2_B0261.6_data
23.13	DISL2_B0252.3_data
23.8	DISL2_B0252.3_data
21.15	DISL2_B0252.3_data
18.72	DISL2_B0252.3_data
26.97	DISL2_B0252.3_data
20.47	DISL2_B0261.8_data
19.12	DISL2_B0261.8_data
15.43	DISL2_B0261.8_data
18.59	DISL2_B0261.8_data
17.92	DISL2_B0261.8_data
9.53	DISL2_B0252.8_data
9.88	DISL2_B0252.8_data
10.73	DISL2_B0252.8_data
10.27	DISL2_B0252.8_data
10.63	DISL2_B0252.8_data
23.32	DISL2_B0261.7_data
22.58	DISL2_B0261.7_data
21.79	DISL2_B0261.7_data
23.43	DISL2_B0261.7_data
26.99	DISL2_B0261.7_data
29.99	DISL2_B0272.4_data
27.58	DISL2_B0272.4_data
28.8	DISL2_B0272.4_data
29.25	DISL2_B0272.4_data
29.54	DISL2_B0272.4_data
17.31	DISL2_B0261.9_data
16.7	DISL2_B0261.9_data
17.7	DISL2_B0261.9_data
17.45	DISL2_B0261.9_data
16.53	DISL2_B0261.9_data
21.21	DISL2_B0272.3_data
19.22	DISL2_B0272.3_data
27.53	DISL2_B0272.3_data
21.71	DISL2_B0272.3_data
21.77	DISL2_B0272.3_data
26.97	DISL2_B0273.1_data
20.51	DISL2_B0273.1_data
21.49	DISL2_B0273.1_data
20.76	DISL2_B0273.1_data
20.94	DISL2_B0273.1_data
22.08	DISL2_B0273.115_data
21.68	DISL2_B0273.115_data
21.88	DISL2_B0273.115_data
21.71	DISL2_B0273.115_data
22.34	DISL2_B0273.115_data
7.44	DISL2_B0280.2_data
7.81	DISL2_B0280.2_data
8.97	DISL2_B0280.2_data
7.84	DISL2_B0280.2_data
7.86	DISL2_B0280.2_data
20.1	DISL2_B0280.11_data
19.87	DISL2_B0280.11_data
20.0	DISL2_B0280.11_data
19.37	DISL2_B0280.11_data
19.57	DISL2_B0280.11_data
19.62	DISL2_B0280.7_data
23.75	DISL2_B0280.7_data
22.27	DISL2_B0280.7_data
19.11	DISL2_B0280.7_data
19.62	DISL2_B0280.7_data
23.04	DISL2_B0280.17_data
23.29	DISL2_B0280.17_data
23.35	DISL2_B0280.17_data
21.02	DISL2_B0280.17_data
24.37	DISL2_B0280.17_data
24.05	DISL2_B0280.9_data
17.79	DISL2_B0280.9_data
18.48	DISL2_B0280.9_data
24.07	DISL2_B0280.9_data
