pae_min	sample
28.16	hcp1_C03D6.4_data
28.68	hcp1_C03D6.4_data
29.18	hcp1_C03D6.4_data
29.21	hcp1_C03D6.4_data
29.52	hcp1_C03D6.4_data
27.65	hcp1_B0240.4_data
29.63	hcp1_B0240.4_data
31.18	hcp1_B0240.4_data
29.72	hcp1_B0240.4_data
30.27	hcp1_B0240.4_data
31.19	hcp1_C09G9.2a_data
31.18	hcp1_C09G9.2a_data
30.81	hcp1_C09G9.2a_data
31.27	hcp1_C09G9.2a_data
31.48	hcp1_C09G9.2a_data
22.08	hcp1_C29E4.4_data
30.34	hcp1_C29E4.4_data
10.15	hcp1_C29E4.4_data
10.06	hcp1_C29E4.4_data
14.9	hcp1_C29E4.4_data
27.68	hcp1_F07A11.3_data
24.72	hcp1_F07A11.3_data
24.45	hcp1_F07A11.3_data
23.48	hcp1_F07A11.3_data
27.23	hcp1_F07A11.3_data
12.33	hcp1_C09G9.2b_data
27.35	hcp1_C09G9.2b_data
13.31	hcp1_C09G9.2b_data
13.09	hcp1_C09G9.2b_data
13.65	hcp1_C09G9.2b_data
26.38	hcp1_F53F10.5_data
29.4	hcp1_F53F10.5_data
30.15	hcp1_F53F10.5_data
29.25	hcp1_F53F10.5_data
30.19	hcp1_F53F10.5_data
29.26	hcp1_F56A3.3b_data
31.29	hcp1_F56A3.3b_data
30.51	hcp1_F56A3.3b_data
30.42	hcp1_F56A3.3b_data
30.79	hcp1_F56A3.3b_data
30.46	hcp1_F56A3.3a_data
31.18	hcp1_F56A3.3a_data
30.42	hcp1_F56A3.3a_data
30.46	hcp1_F56A3.3a_data
29.9	hcp1_F56A3.3a_data
28.86	hcp1_F59A2.1b_data
27.87	hcp1_F59A2.1b_data
29.08	hcp1_F59A2.1b_data
27.26	hcp1_F59A2.1b_data
30.07	hcp1_F59A2.1b_data
28.12	hcp1_F59A2.1a_data
30.05	hcp1_F59A2.1a_data
28.02	hcp1_F59A2.1a_data
25.81	hcp1_F59A2.1a_data
27.73	hcp1_F59A2.1a_data
25.41	hcp1_K07F5.13b_data
31.12	hcp1_K07F5.13b_data
30.43	hcp1_K07F5.13b_data
26.24	hcp1_K07F5.13b_data
25.66	hcp1_K07F5.13b_data
27.85	hcp1_K07F5.13a_data
26.84	hcp1_K07F5.13a_data
31.0	hcp1_K07F5.13a_data
30.23	hcp1_K07F5.13a_data
29.29	hcp1_K07F5.13a_data
28.35	hcp1_K07F5.13c_data
25.04	hcp1_K07F5.13c_data
30.39	hcp1_K07F5.13c_data
29.31	hcp1_K07F5.13c_data
30.84	hcp1_K07F5.13c_data
31.2	hcp1_R06F6.5b_data
